acousticness,analysis_url,artist_name,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,track_popularity,type,uri,valence
0.137,https://api.spotify.com/v1/audio-analysis/6fCMy3rOlPeZdTdwubVjUA,Natalie Cole,66,0.671,170107,0.693,6fCMy3rOlPeZdTdwubVjUA,0.00187,8,0.0467,-7.699,1,0.0373,125.637,4,https://api.spotify.com/v1/tracks/6fCMy3rOlPeZdTdwubVjUA,This Will Be (An Everlasting Love),1,audio_features,spotify:track:6fCMy3rOlPeZdTdwubVjUA,0.906
0.959,https://api.spotify.com/v1/audio-analysis/2fYRXsWimVaQ0WkpLu6qG7,Daniel Robert Lahey,0,0.0722,421667,0.145,2fYRXsWimVaQ0WkpLu6qG7,0.903,11,0.101,-25.31,1,0.0439,78.652,4,https://api.spotify.com/v1/tracks/2fYRXsWimVaQ0WkpLu6qG7,digital creatures in their natural habitat (thing_039),0,audio_features,spotify:track:2fYRXsWimVaQ0WkpLu6qG7,0.035
0.00786,https://api.spotify.com/v1/audio-analysis/5XJLtctnpmI5gaW0hO0Y0a,CGM Sa,18,0.787,209721,0.567,5XJLtctnpmI5gaW0hO0Y0a,0,1,0.137,-6.159,1,0.0781,99.986,4,https://api.spotify.com/v1/tracks/5XJLtctnpmI5gaW0hO0Y0a,"Sge Sa ""HeartBreak Anniversary""",13,audio_features,spotify:track:5XJLtctnpmI5gaW0hO0Y0a,0.0569
0.874,https://api.spotify.com/v1/audio-analysis/5Rok8xojJyM28ShazeoTcQ,The Naked And Famous,62,0.708,48307,0.381,5Rok8xojJyM28ShazeoTcQ,0.913,0,0.0963,-15.645,1,0.0432,124.007,4,https://api.spotify.com/v1/tracks/5Rok8xojJyM28ShazeoTcQ,The Source,33,audio_features,spotify:track:5Rok8xojJyM28ShazeoTcQ,0.0415
0.907,https://api.spotify.com/v1/audio-analysis/0KvawVsET6xNFGcUX3XwaN,Cherry YSS,4,0.2,181114,0.088,0KvawVsET6xNFGcUX3XwaN,0.987,5,0.203,-24.987,1,0.038,71.229,5,https://api.spotify.com/v1/tracks/0KvawVsET6xNFGcUX3XwaN,Indian Himalayas Retreat - Original Mix,0,audio_features,spotify:track:0KvawVsET6xNFGcUX3XwaN,0.0771
0.00372,https://api.spotify.com/v1/audio-analysis/2HrZhpRSmDYLg3tiqx9KsA,Sunbathers,24,0.745,220000,0.633,2HrZhpRSmDYLg3tiqx9KsA,0.00143,1,0.116,-6.475,0,0.0444,125.027,4,https://api.spotify.com/v1/tracks/2HrZhpRSmDYLg3tiqx9KsA,Intimacy,19,audio_features,spotify:track:2HrZhpRSmDYLg3tiqx9KsA,0.394
0.102,https://api.spotify.com/v1/audio-analysis/11Lk7UsSMKUYo5Rin54eFL,Opihi Pickers,37,0.764,227093,0.53,11Lk7UsSMKUYo5Rin54eFL,0.00075,6,0.119,-7.213,0,0.0342,145.018,4,https://api.spotify.com/v1/tracks/11Lk7UsSMKUYo5Rin54eFL,Our Love Is Divine,42,audio_features,spotify:track:11Lk7UsSMKUYo5Rin54eFL,0.94
0.18,https://api.spotify.com/v1/audio-analysis/2ivdsb1RcEJjIs5tuHkUC9,James Brown,67,0.838,316333,0.616,2ivdsb1RcEJjIs5tuHkUC9,7.17E-06,10,0.193,-8.351,0,0.0711,107.695,4,https://api.spotify.com/v1/tracks/2ivdsb1RcEJjIs5tuHkUC9,Get Up (I Feel Like Being A) Sex Machine,55,audio_features,spotify:track:2ivdsb1RcEJjIs5tuHkUC9,0.848
0.627,https://api.spotify.com/v1/audio-analysis/46KSR0qvasoT8Ek92IPFby,SAULT,62,0.75,196136,0.489,46KSR0qvasoT8Ek92IPFby,0.799,6,0.107,-6.595,0,0.0764,165.655,4,https://api.spotify.com/v1/tracks/46KSR0qvasoT8Ek92IPFby,Uncomfortable,42,audio_features,spotify:track:46KSR0qvasoT8Ek92IPFby,0.923
0.83,https://api.spotify.com/v1/audio-analysis/7uGPxuhmEeCerbkQR2HcYC,Rob McDade,10,0.515,169787,0.385,7uGPxuhmEeCerbkQR2HcYC,0.314,7,0.0809,-7.858,1,0.0359,127.384,4,https://api.spotify.com/v1/tracks/7uGPxuhmEeCerbkQR2HcYC,"Pigs on the Wing, Parts 1 & 2",0,audio_features,spotify:track:7uGPxuhmEeCerbkQR2HcYC,0.112
8.79E-05,https://api.spotify.com/v1/audio-analysis/3osBuOGzBR4wCFd5oHm0Un,Garbage,63,0.443,223603,0.944,3osBuOGzBR4wCFd5oHm0Un,0.000542,0,0.369,-3.71,0,0.0377,131.828,4,https://api.spotify.com/v1/tracks/3osBuOGzBR4wCFd5oHm0Un,Special,48,audio_features,spotify:track:3osBuOGzBR4wCFd5oHm0Un,0.573
