acousticness,analysis_url,artist_name,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,track_popularity,type,uri,valence
0.674,https://api.spotify.com/v1/audio-analysis/6pKtFvYZwD1FJMfH4ny1ol,Isak Danielson,65,0.536,202340,0.408,6pKtFvYZwD1FJMfH4ny1ol,0,4,0.129,-9.245,0,0.0485,93.997,4,https://api.spotify.com/v1/tracks/6pKtFvYZwD1FJMfH4ny1ol,I'll Be Waiting,48,audio_features,spotify:track:6pKtFvYZwD1FJMfH4ny1ol,0.163
0.132,https://api.spotify.com/v1/audio-analysis/2puHJmjL4jvO19aEA7kzcb,Mac Miller,88,0.606,272973,0.534,2puHJmjL4jvO19aEA7kzcb,1.10E-06,1,0.148,-6.904,1,0.512,111.044,4,https://api.spotify.com/v1/tracks/2puHJmjL4jvO19aEA7kzcb,Soulmate,66,audio_features,spotify:track:2puHJmjL4jvO19aEA7kzcb,0.561
0.98,https://api.spotify.com/v1/audio-analysis/2JqSBt5VcV8jYHQ6bgjDE1,Frédéric Chopin,78,0.269,342587,0.0956,2JqSBt5VcV8jYHQ6bgjDE1,0.944,1,0.0881,-22.44,1,0.0342,69.399,4,https://api.spotify.com/v1/tracks/2JqSBt5VcV8jYHQ6bgjDE1,"Fantasy-Impromptu in C-Sharp Minor, Op. 66: Fantasie-Impromptu in C Minor, Op. 66",2,audio_features,spotify:track:2JqSBt5VcV8jYHQ6bgjDE1,0.0884
0.0315,https://api.spotify.com/v1/audio-analysis/7LwwbEqsDUfbRd9YgQhqmR,FacePaint,8,0.256,327270,0.598,7LwwbEqsDUfbRd9YgQhqmR,0.218,0,0.0727,-11.198,1,0.0478,194.634,3,https://api.spotify.com/v1/tracks/7LwwbEqsDUfbRd9YgQhqmR,LOW,9,audio_features,spotify:track:7LwwbEqsDUfbRd9YgQhqmR,0.286
0.138,https://api.spotify.com/v1/audio-analysis/0fba6c3vulZB2OJVDYM00d,Art Garfunkel jr.,40,0.664,168344,0.831,0fba6c3vulZB2OJVDYM00d,0,10,0.118,-5.196,1,0.0637,93.005,4,https://api.spotify.com/v1/tracks/0fba6c3vulZB2OJVDYM00d,Wieder daheim (Homeward Bound),33,audio_features,spotify:track:0fba6c3vulZB2OJVDYM00d,0.342
0.657,https://api.spotify.com/v1/audio-analysis/0BVw5tKajA3zW8n1L9SUwH,Hüter des Lichts,33,0.541,203718,0.456,0BVw5tKajA3zW8n1L9SUwH,0,2,0.853,-13.043,1,0.906,57.806,4,https://api.spotify.com/v1/tracks/0BVw5tKajA3zW8n1L9SUwH,Hüter des Lichts - Teil 8,29,audio_features,spotify:track:0BVw5tKajA3zW8n1L9SUwH,0.503
0.0158,https://api.spotify.com/v1/audio-analysis/0Hphfy5osy7mS7qdUwe8dH,#NAME?,40,0.609,236787,0.852,0Hphfy5osy7mS7qdUwe8dH,0,9,0.194,-5.844,1,0.116,138.093,4,https://api.spotify.com/v1/tracks/0Hphfy5osy7mS7qdUwe8dH,Hajimari no Sora,47,audio_features,spotify:track:0Hphfy5osy7mS7qdUwe8dH,0.804
0.305,https://api.spotify.com/v1/audio-analysis/3U76b6F3Ecf0G58UF8aVtR,'The Great Comet' Original Cast Ensemble,14,0.693,391840,0.455,3U76b6F3Ecf0G58UF8aVtR,0,5,0.0944,-11.733,1,0.17,85.99,4,https://api.spotify.com/v1/tracks/3U76b6F3Ecf0G58UF8aVtR,Letters,22,audio_features,spotify:track:3U76b6F3Ecf0G58UF8aVtR,0.313
0.000854,https://api.spotify.com/v1/audio-analysis/56n2bVTS3OVMj77BHB9oy5,Secondhand Sound,32,0.504,225814,0.834,56n2bVTS3OVMj77BHB9oy5,0.000169,4,0.112,-7.344,1,0.0429,129.003,4,https://api.spotify.com/v1/tracks/56n2bVTS3OVMj77BHB9oy5,Knievel,33,audio_features,spotify:track:56n2bVTS3OVMj77BHB9oy5,0.618
0.0703,https://api.spotify.com/v1/audio-analysis/3HB47rygC2ZL256mYC833w,Jason Gould,28,0.503,154595,0.565,3HB47rygC2ZL256mYC833w,0,9,0.0553,-6.061,1,0.0511,200.104,4,https://api.spotify.com/v1/tracks/3HB47rygC2ZL256mYC833w,I Go Crazy,19,audio_features,spotify:track:3HB47rygC2ZL256mYC833w,0.67
0.133,https://api.spotify.com/v1/audio-analysis/5SJEp2yvw7UJAhLRRxvYZy,Tropicalísimo Apache,60,0.487,175840,0.627,5SJEp2yvw7UJAhLRRxvYZy,8.99E-05,2,0.0737,-7.94,1,0.0495,204.748,4,https://api.spotify.com/v1/tracks/5SJEp2yvw7UJAhLRRxvYZy,Viento,34,audio_features,spotify:track:5SJEp2yvw7UJAhLRRxvYZy,0.951
0.13,https://api.spotify.com/v1/audio-analysis/5Vsd7KQOlXm9rtPxGgnAdy,Racionais MC's,70,0.877,332467,0.466,5Vsd7KQOlXm9rtPxGgnAdy,0,10,0.0654,-13.735,0,0.356,100.038,4,https://api.spotify.com/v1/tracks/5Vsd7KQOlXm9rtPxGgnAdy,Parte II,26,audio_features,spotify:track:5Vsd7KQOlXm9rtPxGgnAdy,0.429
0.339,https://api.spotify.com/v1/audio-analysis/6HwvUoRNi4Bee7bkZmeWKm,Benny,43,0.503,243835,0.521,6HwvUoRNi4Bee7bkZmeWKm,0.00772,9,0.261,-9.763,0,0.196,102.444,4,https://api.spotify.com/v1/tracks/6HwvUoRNi4Bee7bkZmeWKm,Never Apart,31,audio_features,spotify:track:6HwvUoRNi4Bee7bkZmeWKm,0.517
0.0757,https://api.spotify.com/v1/audio-analysis/3sTGHiUFDrjoKyw3VK2Gb3,Jürgen Peter,30,0.718,220298,0.813,3sTGHiUFDrjoKyw3VK2Gb3,0.000461,0,0.227,-5.264,1,0.0293,131.035,4,https://api.spotify.com/v1/tracks/3sTGHiUFDrjoKyw3VK2Gb3,Diesmal ist das Spiel vorbei,0,audio_features,spotify:track:3sTGHiUFDrjoKyw3VK2Gb3,0.923
0.259,https://api.spotify.com/v1/audio-analysis/3DarAbFujv6eYNliUTyqtz,Doja Cat,94,0.764,208667,0.705,3DarAbFujv6eYNliUTyqtz,8.92E-05,8,0.12,-3.463,1,0.0284,110.97,4,https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),89,audio_features,spotify:track:3DarAbFujv6eYNliUTyqtz,0.781
0.312,https://api.spotify.com/v1/audio-analysis/1iyZqqWDNGBaor7iJJCLQq,Lenny Tavárez,88,0.816,211157,0.773,1iyZqqWDNGBaor7iJJCLQq,0.000775,11,0.0739,-4.252,0,0.215,160.032,4,https://api.spotify.com/v1/tracks/1iyZqqWDNGBaor7iJJCLQq,TBT,40,audio_features,spotify:track:1iyZqqWDNGBaor7iJJCLQq,0.8
0.785,https://api.spotify.com/v1/audio-analysis/7pUUL0wxQzgraVhEgfbllg,Ladysmith Black Mambazo,52,0.629,209440,0.13,7pUUL0wxQzgraVhEgfbllg,0,10,0.581,-17.708,1,0.341,105.923,4,https://api.spotify.com/v1/tracks/7pUUL0wxQzgraVhEgfbllg,Ujesu Wami,1,audio_features,spotify:track:7pUUL0wxQzgraVhEgfbllg,0.885
0.0846,https://api.spotify.com/v1/audio-analysis/3R2S6IFH4xO5Su42y4YCaS,Tashi,48,0.784,93793,0.457,3R2S6IFH4xO5Su42y4YCaS,0.944,3,0.118,-4.851,0,0.0615,173.984,4,https://api.spotify.com/v1/tracks/3R2S6IFH4xO5Su42y4YCaS,One Note Funk,39,audio_features,spotify:track:3R2S6IFH4xO5Su42y4YCaS,0.861
4.93E-05,https://api.spotify.com/v1/audio-analysis/00NIBEqRwW6e7p9F24cm58,Eurosoul,4,0.584,250114,0.972,00NIBEqRwW6e7p9F24cm58,0.14,7,0.666,-5.931,1,0.0445,138.005,4,https://api.spotify.com/v1/tracks/00NIBEqRwW6e7p9F24cm58,Atomic Dance - Radio Edit,0,audio_features,spotify:track:00NIBEqRwW6e7p9F24cm58,0.541
0.0164,https://api.spotify.com/v1/audio-analysis/6Z3inon4L8e3leAD2BObTG,Duce El Torro,0,0.624,222517,0.794,6Z3inon4L8e3leAD2BObTG,0,6,0.102,-7.468,1,0.386,75.539,4,https://api.spotify.com/v1/tracks/6Z3inon4L8e3leAD2BObTG,Hunnet Bands,0,audio_features,spotify:track:6Z3inon4L8e3leAD2BObTG,0.524
0.248,https://api.spotify.com/v1/audio-analysis/6TfVwvokKOOlBQbyvbL4cU,BT,52,0.59,477253,0.461,6TfVwvokKOOlBQbyvbL4cU,0.0255,10,0.2,-11.44,1,0.032,119.982,4,https://api.spotify.com/v1/tracks/6TfVwvokKOOlBQbyvbL4cU,The Ghost In You,9,audio_features,spotify:track:6TfVwvokKOOlBQbyvbL4cU,0.153
0.533,https://api.spotify.com/v1/audio-analysis/6AptlDT6GKahA7JOfiZTE3,La Barra,56,0.725,206960,0.52,6AptlDT6GKahA7JOfiZTE3,0,10,0.0559,-10.599,1,0.0535,86.785,4,https://api.spotify.com/v1/tracks/6AptlDT6GKahA7JOfiZTE3,No Te Das Cuenta,21,audio_features,spotify:track:6AptlDT6GKahA7JOfiZTE3,0.738
0.0405,https://api.spotify.com/v1/audio-analysis/2wHHqHRxbAWd1x8bxY42XP,Twisted Insane,51,0.745,176005,0.74,2wHHqHRxbAWd1x8bxY42XP,2.74E-06,1,0.149,-5.969,1,0.0466,119.969,4,https://api.spotify.com/v1/tracks/2wHHqHRxbAWd1x8bxY42XP,Night Train,30,audio_features,spotify:track:2wHHqHRxbAWd1x8bxY42XP,0.0914
0.0222,https://api.spotify.com/v1/audio-analysis/3Art0BP4PE0sEg651o8G1M,Lynyrd Skynyrd,75,0.457,363293,0.916,3Art0BP4PE0sEg651o8G1M,0.00231,4,0.954,-4.436,1,0.064,117.093,4,https://api.spotify.com/v1/tracks/3Art0BP4PE0sEg651o8G1M,That Smell - Live,20,audio_features,spotify:track:3Art0BP4PE0sEg651o8G1M,0.291
0.339,https://api.spotify.com/v1/audio-analysis/6bCWyr3C3ngZdwizTYWQTG,Lil Eazzyy,65,0.679,175729,0.794,6bCWyr3C3ngZdwizTYWQTG,1.65E-05,1,0.113,-3.985,1,0.296,150.067,4,https://api.spotify.com/v1/tracks/6bCWyr3C3ngZdwizTYWQTG,Onna Come Up (feat. G Herbo) [Remix],68,audio_features,spotify:track:6bCWyr3C3ngZdwizTYWQTG,0.698
0.000143,https://api.spotify.com/v1/audio-analysis/2KK5x4iO4mV809CDL3WRZI,One Three Two Seven Five,37,0.594,56661,0.369,2KK5x4iO4mV809CDL3WRZI,0.0365,7,0.293,-15.016,1,0.11,80.107,4,https://api.spotify.com/v1/tracks/2KK5x4iO4mV809CDL3WRZI,Glass Bubble Eye,27,audio_features,spotify:track:2KK5x4iO4mV809CDL3WRZI,0.314
0.873,https://api.spotify.com/v1/audio-analysis/5Ur0R1e2NBgyg0cm604UaT,Ben Barnes,45,0.216,270571,0.287,5Ur0R1e2NBgyg0cm604UaT,0.0152,4,0.089,-9.21,0,0.0341,64.845,4,https://api.spotify.com/v1/tracks/5Ur0R1e2NBgyg0cm604UaT,Rise Up,46,audio_features,spotify:track:5Ur0R1e2NBgyg0cm604UaT,0.118
0.99,https://api.spotify.com/v1/audio-analysis/7En1KSXSjbCUHVMoLLaqeQ,Rilassante Jazz Musica Retro,0,0.774,103375,0.0288,7En1KSXSjbCUHVMoLLaqeQ,0.919,11,0.109,-20.215,1,0.0737,79.089,3,https://api.spotify.com/v1/tracks/7En1KSXSjbCUHVMoLLaqeQ,Momenti - Prudente,0,audio_features,spotify:track:7En1KSXSjbCUHVMoLLaqeQ,0.152
