,loss,precision,recall,acc,auc,val_loss,val_precision,val_recall,val_acc,val_auc
0,561.82470703125,0.14572864770889282,0.14499999582767487,0.14550000429153442,0.5129440426826477,158.61715698242188,0.2988235354423523,0.2988235354423523,0.2988235354423523,0.6020832061767578
1,418.17523193359375,0.18850000202655792,0.18850000202655792,0.18850000202655792,0.536647379398346,254.22128295898438,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.49588608741760254
2,387.8794250488281,0.21250000596046448,0.21250000596046448,0.21250000596046448,0.5510306358337402,129.8505401611328,0.48235294222831726,0.48235294222831726,0.48235294222831726,0.7074249386787415
3,361.6333312988281,0.23749999701976776,0.23749999701976776,0.23749999701976776,0.5637664198875427,229.5119171142578,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.5322657227516174
4,293.99920654296875,0.24199999868869781,0.24199999868869781,0.24199999868869781,0.568321704864502,449.495361328125,0.06352940946817398,0.06352940946817398,0.06352940946817398,0.4610121548175812
5,332.7128601074219,0.22711355984210968,0.22699999809265137,0.22750000655651093,0.5610271096229553,887.3475952148438,0.10941176116466522,0.10941176116466522,0.10941176116466522,0.49100640416145325
6,367.1898193359375,0.24199999868869781,0.24199999868869781,0.24199999868869781,0.568215548992157,181.0977325439453,0.27561837434768677,0.27529412508010864,0.27529412508010864,0.5877812504768372
7,299.70928955078125,0.23849999904632568,0.23849999904632568,0.23849999904632568,0.5655999183654785,131.5094451904297,0.4529411792755127,0.4529411792755127,0.4529411792755127,0.6918841600418091
8,309.4235534667969,0.2615000009536743,0.2615000009536743,0.2615000009536743,0.5791439414024353,273.13909912109375,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.6819031238555908
9,362.0193786621094,0.26249998807907104,0.26249998807907104,0.26249998807907104,0.5795422792434692,554.0031127929688,0.052941177040338516,0.052941177040338516,0.052941177040338516,0.4596855342388153
10,265.2867431640625,0.2854999899864197,0.2854999899864197,0.2854999899864197,0.5926517844200134,171.70779418945312,0.31684333086013794,0.31647059321403503,0.31647059321403503,0.6105597019195557
11,231.82232666015625,0.3109999895095825,0.3109999895095825,0.3109999895095825,0.6082063317298889,223.57786560058594,0.18941175937652588,0.18941175937652588,0.18941175937652588,0.5359890460968018
12,361.4974060058594,0.27063530683517456,0.2705000042915344,0.2705000042915344,0.5846801400184631,155.36370849609375,0.4941176474094391,0.4941176474094391,0.4941176474094391,0.71602463722229
13,340.6439208984375,0.26363182067871094,0.26350000500679016,0.26350000500679016,0.5795610547065735,454.6611328125,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.45942166447639465
14,300.22418212890625,0.2840000092983246,0.2840000092983246,0.2840000092983246,0.5924726128578186,194.36477661132812,0.24381625652313232,0.24352940917015076,0.24470588564872742,0.570527970790863
15,277.5751647949219,0.30565282702445984,0.30550000071525574,0.30550000071525574,0.6051718592643738,760.1522216796875,0.052941177040338516,0.052941177040338516,0.052941177040338516,0.45826178789138794
16,326.0176696777344,0.2865000069141388,0.2865000069141388,0.2865000069141388,0.593200147151947,578.8929443359375,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.4690052270889282
17,341.4748229980469,0.29100000858306885,0.29100000858306885,0.29100000858306885,0.597558856010437,264.6761169433594,0.5117647051811218,0.5117647051811218,0.5117647051811218,0.7219557166099548
18,299.3193054199219,0.2930000126361847,0.2930000126361847,0.2930000126361847,0.5953212380409241,262.3504333496094,0.22588235139846802,0.22588235139846802,0.22588235139846802,0.5623399615287781
19,312.1586608886719,0.30300000309944153,0.30300000309944153,0.30300000309944153,0.6031042337417603,232.48153686523438,0.3341176509857178,0.3341176509857178,0.3341176509857178,0.6202242970466614
20,363.3775329589844,0.2930000126361847,0.2930000126361847,0.2930000126361847,0.597797155380249,262.539306640625,0.30941176414489746,0.30941176414489746,0.30941176414489746,0.6074190735816956
21,335.5768737792969,0.30149999260902405,0.30149999260902405,0.30149999260902405,0.6019756197929382,248.7720184326172,0.274117648601532,0.274117648601532,0.274117648601532,0.585953950881958
22,301.3988342285156,0.3199999928474426,0.3199999928474426,0.3199999928474426,0.613168478012085,849.773681640625,0.043529409915208817,0.043529409915208817,0.043529409915208817,0.45164087414741516
23,353.02960205078125,0.2980000078678131,0.2980000078678131,0.2980000078678131,0.6008888483047485,249.55528259277344,0.49176469445228577,0.49176469445228577,0.49176469445228577,0.7104841470718384
24,369.6351623535156,0.29499998688697815,0.29499998688697815,0.29499998688697815,0.5977542996406555,191.9066925048828,0.4282352924346924,0.4282352924346924,0.4282352924346924,0.6736866235733032
25,325.0988464355469,0.32100000977516174,0.32100000977516174,0.32100000977516174,0.6135130524635315,281.6980895996094,0.41411763429641724,0.41411763429641724,0.41411763429641724,0.6669557094573975
26,303.80889892578125,0.31150001287460327,0.31150001287460327,0.31150001287460327,0.6089073419570923,268.5434265136719,0.18000000715255737,0.18000000715255737,0.18000000715255737,0.5324766635894775
27,290.2933044433594,0.3255000114440918,0.3255000114440918,0.3255000114440918,0.6157585978507996,629.1963500976562,0.10588235408067703,0.10588235408067703,0.10588235408067703,0.488702654838562
28,301.7243347167969,0.33500000834465027,0.33500000834465027,0.33500000834465027,0.622199535369873,164.9299774169922,0.35411766171455383,0.35411766171455383,0.35411766171455383,0.635542631149292
29,307.4705505371094,0.3095000088214874,0.3095000088214874,0.3095000088214874,0.6071140766143799,181.9385223388672,0.3894117772579193,0.3894117772579193,0.3894117772579193,0.6548384428024292
30,291.8305969238281,0.3334999978542328,0.3334999978542328,0.3334999978542328,0.620122492313385,530.8270874023438,0.09294117987155914,0.09294117987155914,0.09294117987155914,0.47992652654647827
31,254.188720703125,0.3569999933242798,0.3569999933242798,0.3569999933242798,0.6341174244880676,374.6951904296875,0.19294117391109467,0.19294117391109467,0.19294117391109467,0.5388103723526001
32,326.3186340332031,0.3215000033378601,0.3215000033378601,0.3215000033378601,0.6152172088623047,347.6274719238281,0.19058823585510254,0.19058823585510254,0.19058823585510254,0.5380176901817322
33,360.6142578125,0.31049999594688416,0.31049999594688416,0.31049999594688416,0.6077167391777039,495.02337646484375,0.08941176533699036,0.08941176533699036,0.08941176533699036,0.4798254072666168
34,345.0896911621094,0.32249999046325684,0.32249999046325684,0.32249999046325684,0.6141617298126221,657.8639526367188,0.15882353484630585,0.15882353484630585,0.15882353484630585,0.5190555453300476
35,285.8456726074219,0.33899998664855957,0.33899998664855957,0.33899998664855957,0.6230863332748413,284.7032470703125,0.5058823823928833,0.5058823823928833,0.5058823823928833,0.718704879283905
36,267.5025634765625,0.3529999852180481,0.3529999852180481,0.3529999852180481,0.6340762972831726,221.43453979492188,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.5930634140968323
37,330.3135070800781,0.3240000009536743,0.3240000009536743,0.3240000009536743,0.6140361428260803,215.07928466796875,0.4023529291152954,0.4023529291152954,0.4023529291152954,0.6594183444976807
38,301.6752624511719,0.35600000619888306,0.35600000619888306,0.35600000619888306,0.6337973475456238,270.3931579589844,0.1917647123336792,0.1917647123336792,0.1917647123336792,0.5381386280059814
39,353.2970275878906,0.3240000009536743,0.3240000009536743,0.3240000009536743,0.6143060922622681,337.3086853027344,0.20352941751480103,0.20352941751480103,0.20352941751480103,0.5449942946434021
40,266.2362060546875,0.3605000078678131,0.3605000078678131,0.3605000078678131,0.6379293203353882,586.658935546875,0.0752941146492958,0.0752941146492958,0.0752941146492958,0.47154900431632996
41,282.7412414550781,0.35899999737739563,0.35899999737739563,0.35899999737739563,0.6362571120262146,551.9769287109375,0.05411764606833458,0.05411764606833458,0.05411764606833458,0.458146870136261
42,256.39837646484375,0.38199999928474426,0.38199999928474426,0.38199999928474426,0.6480175256729126,132.140869140625,0.4964706003665924,0.4964706003665924,0.4964706003665924,0.7145140171051025
43,275.98199462890625,0.3619999885559082,0.3619999885559082,0.3619999885559082,0.6375670433044434,273.9041442871094,0.3329411745071411,0.3329411745071411,0.3329411745071411,0.6180126070976257
44,264.544189453125,0.3619999885559082,0.3619999885559082,0.3619999885559082,0.6369870901107788,234.99508666992188,0.34470587968826294,0.34470587968826294,0.34470587968826294,0.6280089020729065
45,223.07066345214844,0.3995000123977661,0.3995000123977661,0.3995000123977661,0.6595654487609863,216.6497039794922,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.5930816531181335
46,251.481201171875,0.37018510699272156,0.3700000047683716,0.3700000047683716,0.6428992748260498,463.3455810546875,0.1352941244840622,0.1352941244840622,0.1352941244840622,0.5054411292076111
47,264.0564270019531,0.3790000081062317,0.3790000081062317,0.3790000081062317,0.6455245018005371,374.9560241699219,0.13294117152690887,0.13294117152690887,0.13294117152690887,0.504375696182251
48,229.69509887695312,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.6545056104660034,290.7402648925781,0.2105882316827774,0.2105882316827774,0.2105882316827774,0.5494171380996704
49,296.1082763671875,0.3555000126361847,0.3555000126361847,0.3555000126361847,0.6338050961494446,339.6200256347656,0.23529411852359772,0.23529411852359772,0.23529411852359772,0.5638402104377747
50,286.77117919921875,0.3774999976158142,0.3774999976158142,0.3774999976158142,0.6475712060928345,383.537353515625,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.6113479137420654
51,278.2513732910156,0.3880000114440918,0.3880000114440918,0.3880000114440918,0.6525669693946838,776.8521118164062,0.048235293477773666,0.048235293477773666,0.048235293477773666,0.45522332191467285
52,278.3348083496094,0.38199999928474426,0.38199999928474426,0.38199999928474426,0.64818274974823,435.7353820800781,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.5541455149650574
53,280.5072326660156,0.38449999690055847,0.38449999690055847,0.38449999690055847,0.6504625082015991,178.0167236328125,0.4752941131591797,0.4752941131591797,0.4752941131591797,0.7002091407775879
54,271.8220520019531,0.3894999921321869,0.3894999921321869,0.3894999921321869,0.6531541347503662,232.96775817871094,0.2776470482349396,0.2776470482349396,0.2776470482349396,0.5889706611633301
55,256.1237487792969,0.37549999356269836,0.37549999356269836,0.37549999356269836,0.644043505191803,1411.076171875,0.043529409915208817,0.043529409915208817,0.043529409915208817,0.45313847064971924
56,361.2688293457031,0.3580000102519989,0.3580000102519989,0.3580000102519989,0.6340025663375854,351.20330810546875,0.22823528945446014,0.22823528945446014,0.22823528945446014,0.5589224696159363
57,312.4781494140625,0.38749998807907104,0.38749998807907104,0.38749998807907104,0.6510680913925171,303.0323486328125,0.3270588219165802,0.3270588219165802,0.3270588219165802,0.6154165863990784
58,254.7660675048828,0.39800000190734863,0.39800000190734863,0.39800000190734863,0.6590624451637268,211.6895751953125,0.31647059321403503,0.31647059321403503,0.31647059321403503,0.6127946972846985
59,294.5007019042969,0.39250001311302185,0.39250001311302185,0.39250001311302185,0.654040515422821,806.5504150390625,0.16588234901428223,0.16588234901428223,0.16588234901428223,0.5237209796905518
60,319.4100341796875,0.382999986410141,0.382999986410141,0.382999986410141,0.6490280628204346,215.85409545898438,0.3776470720767975,0.3776470720767975,0.3776470720767975,0.6464405059814453
