,loss,accuracy,precision,recall,auc_pr,auc_roc,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_auc_pr,val_auc_roc,val_f1_score
36,1.3198463916778564,0.4963448941707611,0.724904477596283,0.2607935070991516,0.5563998222351074,0.8710268139839172,"[0.42252165 0.3782969  0.37750793 0.54764104 0.43602645 0.57006764
 0.3867632  0.8263502 ]",1.3573211431503296,0.4906311631202698,0.6060352325439453,0.35650888085365295,0.5483061671257019,0.873490035533905,"[0.02531645 0.09386281 0.30265486 0.         0.375      0.73467225
 0.         0.30769232]"
37,1.3159875869750977,0.4977819323539734,0.7216225862503052,0.2589815557003021,0.5570781230926514,0.8723934888839722,"[0.42769375 0.3799283  0.39137134 0.54732984 0.43765214 0.5637952
 0.3778826  0.83231634]",1.3667975664138794,0.5182445645332336,0.667560338973999,0.36834320425987244,0.5748873949050903,0.87441486120224,"[0.02666667 0.11525423 0.31460676 0.         0.3510848  0.74372333
 0.         0.33333334]"
38,1.319655179977417,0.49515774846076965,0.7245423793792725,0.2547329068183899,0.5540847778320312,0.871401846408844,"[0.42041603 0.38522956 0.3757544  0.54915416 0.43302852 0.5551407
 0.37718153 0.8386469 ]",1.338438868522644,0.4797830283641815,0.7482614517211914,0.26528599858283997,0.5516784191131592,0.8644675612449646,"[0.15909092 0.45398772 0.31813124 0.032      0.33818182 0.6956522
 0.         0.44444445]"
39,1.3213462829589844,0.4975945055484772,0.7128267288208008,0.25729459524154663,0.5540698766708374,0.8712857961654663,"[0.434179   0.381864   0.38390744 0.5484393  0.43584955 0.5618146
 0.37948987 0.8278867 ]",1.3900550603866577,0.5064102411270142,0.7419785857200623,0.27366864681243896,0.551335334777832,0.852979838848114,"[0.20338981 0.44747612 0.3299389  0.05194805 0.3204868  0.7257799
 0.03703704 0.32352942]"
40,1.3221064805984497,0.49328336119651794,0.7293127775192261,0.25991877913475037,0.5538583993911743,0.8709160089492798,"[0.41050118 0.38597375 0.37670514 0.55011547 0.4346185  0.5645242
 0.37879968 0.8174795 ]",1.308454990386963,0.5567061305046082,0.6907630562782288,0.424063116312027,0.6045238375663757,0.8853236436843872,"[0.05263158 0.16938111 0.33280507 0.         0.40060243 0.76288664
 0.08888889 0.32786888]"
41,1.3061927556991577,0.4981568157672882,0.7331245541572571,0.26329272985458374,0.5618451237678528,0.8738252520561218,"[0.43002605 0.3794245  0.37251356 0.55482966 0.44211093 0.55813956
 0.3889468  0.8314877 ]",1.251579999923706,0.5251479148864746,0.7584134340286255,0.31114399433135986,0.5889478921890259,0.883497416973114,"[0.21656053 0.43801653 0.3595238  0.03846154 0.38376382 0.7360351
 0.0754717  0.44      ]"
42,1.3106578588485718,0.498531699180603,0.7280040979385376,0.26572945713996887,0.560182511806488,0.8732378482818604,"[0.4306198  0.389001   0.3921167  0.5492034  0.43969715 0.5573607
 0.37436035 0.8299879 ]",1.2412574291229248,0.5231755375862122,0.7552447319030762,0.3195266127586365,0.5886053442955017,0.8865581750869751,"[0.125      0.33175355 0.32839227 0.         0.3920923  0.7414331
 0.         0.3589744 ]"
43,1.3142051696777344,0.4999062716960907,0.7204580903053284,0.25941893458366394,0.5595107078552246,0.8726163506507874,"[0.43258426 0.39230767 0.3729253  0.5585585  0.43475905 0.56363183
 0.38193342 0.8314824 ]",1.1914033889770508,0.5734714269638062,0.7333923578262329,0.4082840383052826,0.6307402849197388,0.8969213366508484,"[0.19130434 0.3882064  0.38926175 0.0625     0.4335878  0.7743759
 0.02702703 0.42666668]"
44,1.3081620931625366,0.501343309879303,0.7302067279815674,0.27141517400741577,0.5640515685081482,0.8736462593078613,"[0.42303118 0.40445456 0.3806833  0.56470585 0.43311405 0.5577299
 0.37986505 0.8406501 ]",1.3384310007095337,0.5009862184524536,0.732492983341217,0.2578895390033722,0.5355978012084961,0.8671609163284302,"[0.2714932  0.44025156 0.3375     0.06779661 0.3811189  0.70435274
 0.06779661 0.39999998]"
45,1.3035619258880615,0.5019056797027588,0.7270433902740479,0.2701030969619751,0.5642921924591064,0.8747825622558594,"[0.4351145  0.3990964  0.38249087 0.5459675  0.45232344 0.55916643
 0.39191294 0.8259501 ]",1.5063128471374512,0.4738658666610718,0.55003821849823,0.3550295829772949,0.4966762959957123,0.8585513234138489,"[0.         0.07352941 0.28642797 0.         0.39522997 0.72013086
 0.         0.24000002]"
46,1.3116260766983032,0.5043423771858215,0.7276531457901001,0.2716026306152344,0.5632374286651611,0.8733572959899902,"[0.42706838 0.39638734 0.40153846 0.56428236 0.44157273 0.5679012
 0.38294533 0.8252287 ]",1.200622320175171,0.5591716170310974,0.7575757503509521,0.332840234041214,0.615517258644104,0.8936337828636169,"[0.2631579  0.40835267 0.38585207 0.06535948 0.4548387  0.76079226
 0.1        0.3265306 ]"
47,1.313987374305725,0.5002186894416809,0.7285640835762024,0.2659793794155121,0.560282289981842,0.8729720711708069,"[0.4237447  0.38649833 0.38697916 0.5547614  0.4422192  0.5799552
 0.3684348  0.8290331 ]",1.207723617553711,0.5498027801513672,0.7381183505058289,0.3752465546131134,0.6159374713897705,0.8925340175628662,"[0.13461539 0.32390746 0.35079172 0.03389831 0.4190801  0.7677678
 0.03636364 0.41860467]"
48,1.2941904067993164,0.5030303001403809,0.729320764541626,0.27104029059410095,0.5686238408088684,0.876600980758667,"[0.43443397 0.39529535 0.38433796 0.5658289  0.43729556 0.5751796
 0.37050742 0.828716  ]",1.1906696557998657,0.5611439943313599,0.7667386531829834,0.3500986099243164,0.6229934096336365,0.8964433670043945,"[0.2236842  0.4318182  0.39441535 0.0625     0.43365696 0.7606623
 0.06666667 0.46666667]"
49,1.2960383892059326,0.5076538324356079,0.7257956266403198,0.27072790265083313,0.569342315196991,0.8767155408859253,"[0.4326923  0.40434995 0.38645115 0.57680696 0.4314262  0.5632097
 0.39716688 0.8390804 ]",1.3795404434204102,0.5300788879394531,0.6461661458015442,0.39891520142555237,0.5720266103744507,0.8752934336662292,"[0.02631579 0.11683849 0.30522946 0.         0.34932822 0.7638238
 0.04444445 0.4375    ]"
