,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0,2.303860664367676,0.13712957501411438,0.1666666716337204,0.012783265672624111,0.13806170225143433,4.66556453704834,0.1256544440984726,0.10000000149011612,0.08376963436603546,0.15202413499355316
1,2.0874505043029785,0.19639743864536285,0.3650793731212616,0.013364323414862156,0.17880405485630035,2.2763466835021973,0.13612565398216248,0.5714285969734192,0.04188481718301773,0.16177159547805786
2,1.9582713842391968,0.24927367269992828,0.6333333253860474,0.022080186754465103,0.23068499565124512,1.9151777029037476,0.36125653982162476,1.0,0.005235602147877216,0.30686360597610474
3,1.8787204027175903,0.28471818566322327,0.6612903475761414,0.023823358118534088,0.2759547829627991,2.0218992233276367,0.23036649823188782,1.0,0.010471204295754433,0.24425803124904633
4,1.8113510608673096,0.3155142366886139,0.6666666865348816,0.04299825802445412,0.3153359293937683,1.750595211982727,0.39790576696395874,0.7037037014961243,0.09947644174098969,0.39847251772880554
5,1.7584947347640991,0.3463102877140045,0.6854838728904724,0.04938989132642746,0.33964547514915466,1.9060503244400024,0.30890053510665894,0.4399999976158142,0.11518324911594391,0.290752649307251
6,1.6988582611083984,0.3683904707431793,0.7111111283302307,0.07437536120414734,0.3745008111000061,1.9172807931900024,0.33507853746414185,0.6000000238418579,0.15706805884838104,0.34471946954727173
7,1.6341334581375122,0.39860546588897705,0.7469879388809204,0.10807669907808304,0.4165475368499756,1.686155915260315,0.4293193817138672,0.6875,0.11518324911594391,0.44080838561058044
8,1.606589913368225,0.4055781662464142,0.7362637519836426,0.11679255962371826,0.4267390966415405,1.7753515243530273,0.33507853746414185,0.6315789222717285,0.1256544440984726,0.3754209876060486
9,1.5520906448364258,0.441022664308548,0.7556270360946655,0.13654851913452148,0.4577055871486664,1.7177670001983643,0.38743454217910767,0.8571428656578064,0.09424083679914474,0.4017573893070221
10,1.547486662864685,0.41080766916275024,0.6963788270950317,0.1452643871307373,0.44428181648254395,1.9186022281646729,0.27225130796432495,0.5869565010070801,0.14136125147342682,0.32251229882240295
11,1.524918556213379,0.4363741874694824,0.7017995119094849,0.1586287021636963,0.45660024881362915,1.607683777809143,0.39790576696395874,0.8823529481887817,0.15706805884838104,0.45508477091789246
12,1.4969651699066162,0.44276583194732666,0.7002652287483215,0.15339918434619904,0.4692835509777069,1.7905939817428589,0.3664921522140503,0.6896551847457886,0.10471203923225403,0.35644274950027466
13,1.46589195728302,0.4596165120601654,0.7285382747650146,0.18245206773281097,0.4921647906303406,1.9099807739257812,0.2879581153392792,0.6200000047683716,0.16230367124080658,0.3308594226837158
14,1.473254919052124,0.448576420545578,0.7035398483276367,0.18477629125118256,0.4804615378379822,1.5802887678146362,0.45026177167892456,0.75,0.1884816735982895,0.4624019265174866
15,1.4006414413452148,0.461940735578537,0.7450199127197266,0.21731550991535187,0.5167677998542786,1.5504090785980225,0.4712041914463043,0.8148148059844971,0.23036649823188782,0.5029639601707458
16,1.3874834775924683,0.4700755476951599,0.7178988456726074,0.2144102305173874,0.516194224357605,1.4638855457305908,0.5026177763938904,0.6774193644523621,0.21989528834819794,0.505727231502533
17,1.387863278388977,0.4822777509689331,0.7214953303337097,0.224288210272789,0.5239637494087219,1.5802148580551147,0.45026177167892456,0.6666666865348816,0.16753926873207092,0.44385117292404175
18,1.3491297960281372,0.48983150720596313,0.7397959232330322,0.25276002287864685,0.5443105101585388,1.4054625034332275,0.4921466112136841,0.6794871687889099,0.2774869203567505,0.5416885018348694
19,1.3662275075912476,0.48866936564445496,0.7283737063407898,0.24462521076202393,0.5344110727310181,1.4065085649490356,0.481675386428833,0.774193525314331,0.2513088881969452,0.524417519569397
20,1.3344181776046753,0.4968041777610779,0.75126051902771,0.259732723236084,0.5532286763191223,1.4986447095870972,0.46073299646377563,0.7241379022598267,0.21989528834819794,0.5080551505088806
21,1.3043508529663086,0.5026147365570068,0.7160686254501343,0.26670539379119873,0.5570263862609863,1.4412801265716553,0.4659685790538788,0.6746987700462341,0.2931937277317047,0.5116449594497681
22,1.2725648880004883,0.5299244523048401,0.7406250238418579,0.27542126178741455,0.575728178024292,1.4492757320404053,0.5026177763938904,0.7536231875419617,0.27225130796432495,0.536244809627533
