,loss,accuracy,precision,recall,auc_pr,auc_roc,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_auc_pr,val_auc_roc,val_f1_score
0,1.8587231636047363,0.3112388253211975,0.5871492028236389,0.055483825504779816,0.28081774711608887,0.6965219378471375,"[0.2427608  0.33929455 0.15750787 0.23972188 0.259177   0.33508843
 0.16861351 0.5088095 ]",1.3664900064468384,0.5325765013694763,0.8359375,0.21125370264053345,0.5716456174850464,0.8665228486061096,"[0.10294118 0.4441341  0.1419753  0.07619048 0.37377048 0.7534791
 0.08571429 0.278481  ]"
1,1.5603891611099243,0.4229399561882019,0.7084391117095947,0.13950146734714508,0.4446844458580017,0.8133578896522522,"[0.36585367 0.45001054 0.22387098 0.45032802 0.3916013  0.42521995
 0.2734716  0.71306306]",1.3361361026763916,0.5281342267990112,0.743413507938385,0.32033562660217285,0.5666095614433289,0.8672850131988525,"[0.27586204 0.47897625 0.22976503 0.0597015  0.36116505 0.7383863
 0.16       0.44897962]"
2,1.4304498434066772,0.46485912799835205,0.7057220935821533,0.21034547686576843,0.5060688853263855,0.8474727272987366,"[0.40232557 0.48464593 0.27330318 0.53846157 0.40114018 0.47400692
 0.31176975 0.7590447 ]",1.3153882026672363,0.5340572595596313,0.7945670485496521,0.23099704086780548,0.5741215348243713,0.8776968121528625,"[0.3076923  0.538843   0.32380953 0.08333334 0.4570707  0.6996024
 0.1686747  0.26548675]"
3,1.3639212846755981,0.49091023206710815,0.7097277641296387,0.25570061802864075,0.5388604998588562,0.8625912070274353,"[0.4367709  0.4955045  0.30764562 0.5789722  0.42439643 0.50755763
 0.3166069  0.7867344 ]",1.4551550149917603,0.4768015742301941,0.6920583248138428,0.21076011657714844,0.48340335488319397,0.8396734595298767,"[0.31137723 0.51336896 0.30434778 0.05750799 0.36095765 0.6599764
 0.16842106 0.2820513 ]"
4,1.3787466287612915,0.48128944635391235,0.6852791905403137,0.25301429629325867,0.5232408046722412,0.8592972159385681,"[0.4150319  0.5051419  0.3239641  0.50916785 0.4359504  0.51521623
 0.3236895  0.77039206]",1.3095663785934448,0.5330700874328613,0.8123077154159546,0.26061204075813293,0.5866379737854004,0.8737638592720032,"[0.34939757 0.54104984 0.31788078 0.08695652 0.4497751  0.70179504
 0.11428571 0.33846155]"
5,1.3269485235214233,0.5075904130935669,0.6960799694061279,0.27400511503219604,0.5543025135993958,0.870559811592102,"[0.44088846 0.5275432  0.35182998 0.5682234  0.43845555 0.5343471
 0.33520213 0.802974  ]",1.4747025966644287,0.45212242007255554,0.6427432298660278,0.19891411066055298,0.45469263195991516,0.8358373045921326,"[0.24074073 0.46187362 0.3282443  0.04347826 0.37477478 0.6126356
 0.07272728 0.21276596]"
6,1.3076294660568237,0.5121509432792664,0.7063336968421936,0.29330918192863464,0.5634599924087524,0.8744017481803894,"[0.45498085 0.5170614  0.35383713 0.5960235  0.4294955  0.5429792
 0.35197175 0.7946095 ]",1.203892707824707,0.572556734085083,0.8251748085021973,0.2912142276763916,0.6276071667671204,0.8975549340248108,"[0.24561405 0.5301508  0.3375     0.14705883 0.47488582 0.7446458
 0.0754717  0.41269842]"
7,1.2881340980529785,0.5200849771499634,0.6995359659194946,0.3013681471347809,0.5700855851173401,0.8784759640693665,"[0.46217063 0.5231948  0.38259867 0.6047769  0.42524222 0.5458886
 0.35517845 0.8083937 ]",1.5606040954589844,0.3741362392902374,0.5480572581291199,0.1322803497314453,0.3617457151412964,0.8147371411323547,"[0.3763441  0.49476445 0.27096775 0.0794702  0.42458102 0.3866976
 0.14457831 0.35714287]"
8,1.2734603881835938,0.5253951549530029,0.7089260816574097,0.31754857301712036,0.5790598392486572,0.8813439607620239,"[0.45023578 0.535217   0.38078701 0.6019152  0.44298476 0.56313723
 0.36810857 0.8099503 ]",1.2139075994491577,0.5330700874328613,0.7541370987892151,0.31490620970726013,0.6011558175086975,0.893150806427002,"[0.35365856 0.54307115 0.34008098 0.08333334 0.46327683 0.6872812
 0.23423423 0.40740743]"
9,1.2590540647506714,0.5300806164741516,0.705608069896698,0.33091771602630615,0.5884978175163269,0.8841880559921265,"[0.44731608 0.5385859  0.3964378  0.6234946  0.44749093 0.5560515
 0.36763868 0.8145546 ]",1.244511365890503,0.5468904376029968,0.738043487071991,0.33514314889907837,0.5907285213470459,0.8871753215789795,"[0.11235956 0.5368957  0.34615383 0.18181817 0.46875003 0.7028943
 0.23684211 0.36842105]"
10,1.2482922077178955,0.5342037677764893,0.7091665267944336,0.33010557293891907,0.5904421806335449,0.8861213326454163,"[0.446      0.54490536 0.41052926 0.63216263 0.44599846 0.54944474
 0.38119805 0.8165297 ]",1.168476939201355,0.5819348692893982,0.7846638560295105,0.3687068223953247,0.6350407004356384,0.9017101526260376,"[0.33333334 0.56013185 0.3391521  0.10344827 0.4719764  0.7580052
 0.18867925 0.40963855]"
11,1.2281888723373413,0.543512225151062,0.7140814065933228,0.3430998921394348,0.6023573875427246,0.8902266025543213,"[0.4659673  0.54979914 0.40733314 0.64358735 0.4468308  0.5784824
 0.38490346 0.82238317]",1.1764111518859863,0.5681145191192627,0.779411792755127,0.3400789797306061,0.6255217790603638,0.9006745219230652,"[0.33070865 0.5754986  0.3369803  0.16216217 0.481203   0.7209169
 0.18666668 0.45945942]"
12,1.2307053804397583,0.5433247685432434,0.7140674591064453,0.35040920972824097,0.603110671043396,0.8894460797309875,"[0.46712464 0.54290855 0.4043466  0.640724   0.4553928  0.58875126
 0.36960986 0.82320446]",1.1104813814163208,0.5967423319816589,0.7900000214576721,0.3899309039115906,0.6574841141700745,0.9113379120826721,"[0.3333333  0.57915056 0.37798166 0.11594203 0.497449   0.7660256
 0.14457831 0.4727273 ]"
13,1.2117208242416382,0.5488848686218262,0.7111417055130005,0.3552820682525635,0.6096801161766052,0.8929770588874817,"[0.46759722 0.5556448  0.41157922 0.6534196  0.45086092 0.5836099
 0.39489365 0.82355887]",1.2702187299728394,0.5291213989257812,0.7369614243507385,0.32082921266555786,0.5783166885375977,0.8813289999961853,"[0.30051813 0.5416667  0.35250464 0.1764706  0.46391752 0.6723198
 0.22222222 0.47619048]"
