,loss,accuracy,precision,recall,auc_pr,auc_roc,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_auc_pr,val_auc_roc,val_f1_score
0,1.591488242149353,0.42425188422203064,0.6748479604721069,0.1722952425479889,0.44755128026008606,0.8159615397453308,"[0.34763476 0.45333853 0.28093812 0.42716897 0.42630938 0.49076208
 0.35592833 0.6342536 ]",1.3487693071365356,0.5064165592193604,0.7263157963752747,0.2724580466747284,0.5512922406196594,0.8677653074264526,"[0.22516556 0.4365482  0.32980973 0.06603774 0.47226176 0.7037037
 0.1746032  0.1910828 ]"
1,1.302472472190857,0.5232710838317871,0.716841459274292,0.29037296772003174,0.5720482468605042,0.876796543598175,"[0.42970678 0.51290244 0.40687832 0.5862573  0.471384   0.5295336
 0.44005007 0.7676585 ]",1.7403732538223267,0.4225074052810669,0.5349907875061035,0.2867719531059265,0.4185032546520233,0.7928281426429749,"[0.09708738 0.439819   0.2647059  0.04545454 0.4641834  0.50530785
 0.10526315 0.44      ]"
2,1.2392910718917847,0.5430124402046204,0.7161022424697876,0.3342287838459015,0.5981042385101318,0.8887321352958679,"[0.4525274  0.5275229  0.43448457 0.5968973  0.4776433  0.57639945
 0.45928913 0.78502077]",1.651271939277649,0.400789737701416,0.5928917527198792,0.18114511668682098,0.3998856246471405,0.791204571723938,"[0.3152174  0.5477707  0.2795699  0.04580153 0.47355166 0.50420165
 0.11401427 0.17721519]"
3,1.2182139158248901,0.551321268081665,0.7209481000900269,0.3515337109565735,0.6101633310317993,0.8928829431533813,"[0.48048523 0.5296314  0.44707698 0.61235696 0.49153864 0.54717475
 0.456621   0.80574864]",1.207450032234192,0.5789733529090881,0.7382999062538147,0.3815399706363678,0.6213452219963074,0.8937152028083801,"[0.35051546 0.55607474 0.36608866 0.14545454 0.44444442 0.77064216
 0.22       0.2702703 ]"
4,1.1783387660980225,0.5673143267631531,0.7194210886955261,0.38508152961730957,0.6296253204345703,0.8994829654693604,"[0.47357064 0.54671603 0.45098042 0.66030264 0.50013286 0.5717962
 0.48249027 0.81123745]",1.3221895694732666,0.5108588337898254,0.6686747074127197,0.32872655987739563,0.5497210621833801,0.8717129826545715,"[0.29752067 0.58801496 0.3469388  0.08144797 0.485684   0.65263164
 0.20740741 0.28571427]"
5,1.1479482650756836,0.5761229395866394,0.72922283411026,0.4056350290775299,0.6434054374694824,0.9047362804412842,"[0.49223354 0.5594048  0.47320527 0.6511738  0.4918919  0.5738204
 0.5138136  0.8179912 ]",1.1220335960388184,0.5626850724220276,0.6770045161247253,0.4417571425437927,0.6361489295959473,0.9091594219207764,"[0.3267327  0.6060606  0.2611465  0.08       0.48909956 0.7130633
 0.17777778 0.32941177]"
6,1.1300697326660156,0.5822452902793884,0.7214568257331848,0.4220028817653656,0.6521590948104858,0.9075490832328796,"[0.4899729  0.56215215 0.46149975 0.6791469  0.5112822  0.5832045
 0.5091755  0.8251163 ]",1.2002074718475342,0.573543906211853,0.6944226026535034,0.43632772564888,0.6208160519599915,0.8944708108901978,"[0.3108108  0.60231656 0.348285   0.11406844 0.47145486 0.7591093
 0.18556702 0.23437501]"
7,1.1051160097122192,0.589804470539093,0.733262836933136,0.43312302231788635,0.6639318466186523,0.9118484258651733,"[0.48562127 0.57136273 0.47983873 0.6754967  0.5154255  0.5957555
 0.52392036 0.8362697 ]",1.1508710384368896,0.5705824494361877,0.7403936386108398,0.3899309039115906,0.6359006762504578,0.904391884803772,"[0.38423648 0.59707725 0.34540388 0.10752688 0.51167965 0.72808987
 0.21374047 0.2777778 ]"
8,1.0852608680725098,0.5993627905845642,0.7427088618278503,0.4470544159412384,0.6740524172782898,0.914827823638916,"[0.5329421  0.5586127  0.48637936 0.7053442  0.5184788  0.6073165
 0.53209114 0.8285782 ]",1.2671358585357666,0.5281342267990112,0.6596858501434326,0.3731490671634674,0.5682191848754883,0.8830768465995789,"[0.35761592 0.62152773 0.37238494 0.11965813 0.49948403 0.6329754
 0.22680414 0.34567901]"
9,1.0956768989562988,0.5979883670806885,0.7398751974105835,0.43712127208709717,0.6700666546821594,0.9132681488990784,"[0.5344874  0.57336336 0.4701155  0.70349115 0.4878049  0.59125966
 0.5472329  0.84609914]",1.5034830570220947,0.4782823324203491,0.5910999178886414,0.34748271107673645,0.48746010661125183,0.8424105048179626,"[0.32000002 0.55012226 0.298441   0.14999999 0.4689332  0.57315433
 0.04166667 0.18181817]"
