,loss,accuracy,precision,recall,auc_pr,auc_roc,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_auc_pr,val_auc_roc,val_f1_score
0,2.2598214149475098,0.15281812846660614,0.296875,0.029811715707182884,0.16970941424369812,0.5921077132225037,"[0.12432431 0.15233415 0.16414687 0.13913043 0.12085769 0.3007209
 0.11607143 0.10423453]",2.489306926727295,0.1518324613571167,0.1666666716337204,0.005235602147877216,0.15333351492881775,0.5387520790100098,"[0.23076923 0.24390244 0.06896552 0.         0.         0.
 0.2962963  0.        ]"
1,2.105079412460327,0.19814062118530273,0.18666666746139526,0.008134805597364902,0.17501738667488098,0.6064936518669128,"[0.18487395 0.21705426 0.14423077 0.15841584 0.17299578 0.28643218
 0.1857143  0.12456748]",2.047393560409546,0.16230367124080658,0.3076923191547394,0.04188481718301773,0.17898565530776978,0.6166536808013916,"[0.         0.24277458 0.         0.         0.3076923  0.
 0.         0.        ]"
2,1.990834355354309,0.23184195160865784,0.27941176295280457,0.011040093377232552,0.20996583998203278,0.6546047329902649,"[0.20855615 0.20936638 0.12332439 0.12352943 0.25779626 0.35578144
 0.24367817 0.15916955]",1.9924392700195312,0.26178011298179626,0.6666666865348816,0.010471204295754433,0.22242309153079987,0.629327654838562,"[0.         0.31250003 0.         0.28037384 0.20689656 0.5
 0.         0.07407407]"
3,1.8897253274917603,0.26205694675445557,0.5400000214576721,0.01568855345249176,0.25118425488471985,0.6972652077674866,"[0.26631853 0.25316456 0.15934066 0.19767442 0.20338984 0.40789473
 0.23175967 0.22712933]",1.9046170711517334,0.27225130796432495,0.3076923191547394,0.020942408591508865,0.23660627007484436,0.6904963850975037,"[0.26168224 0.06451613 0.         0.07692308 0.37681156 0.5714286
 0.38297877 0.11764707]"
4,1.8655941486358643,0.29692038893699646,0.42465752363204956,0.01801278255879879,0.2680472433567047,0.7097810506820679,"[0.31775698 0.15032679 0.20051414 0.1910828  0.27184466 0.44444442
 0.30303028 0.3111111 ]",1.8883206844329834,0.28272250294685364,0.0,0.0,0.26680999994277954,0.6939365863800049,"[0.3859649  0.         0.         0.         0.26415095 0.4878049
 0.22222222 0.31325302]"
5,1.8384476900100708,0.3044741451740265,0.511904776096344,0.024985473603010178,0.2774186134338379,0.7200738787651062,"[0.359447   0.14239483 0.17191976 0.14511041 0.2580645  0.47172415
 0.2688391  0.39613527]",1.8630061149597168,0.2931937277317047,0.1666666716337204,0.005235602147877216,0.2722572386264801,0.7065477967262268,"[0.36065573 0.         0.         0.08695652 0.15384616 0.48421055
 0.32727274 0.375     ]"
6,1.7953630685806274,0.33236491680145264,0.4057970941066742,0.016269611194729805,0.29317912459373474,0.7361055016517639,"[0.34684688 0.16519175 0.20749278 0.1627907  0.2277778  0.5057143
 0.329718   0.48769575]",1.8301341533660889,0.3036649227142334,0.0,0.0,0.2780166268348694,0.723648726940155,"[0.16666666 0.11764706 0.05128205 0.35294116 0.30400002 0.59999996
 0.3255814  0.41860467]"
7,1.7520166635513306,0.3602556586265564,0.5370370149612427,0.0337013378739357,0.326273113489151,0.7540444135665894,"[0.35680753 0.18461537 0.21276596 0.18232043 0.37560976 0.5181818
 0.2718894  0.5604839 ]",1.8051695823669434,0.3403141498565674,0.0,0.0,0.3517076373100281,0.733722448348999,"[0.08333333 0.21621622 0.         0.34782606 0.33333334 0.6086956
 0.34146342 0.36842105]"
8,1.810600757598877,0.3166763484477997,0.6280992031097412,0.044160373508930206,0.3062829077243805,0.7266601920127869,"[0.34920633 0.16766468 0.18768328 0.20895524 0.2850575  0.42233855
 0.3117506  0.47294587]",2.028787136077881,0.19895288348197937,0.0,0.0,0.20622219145298004,0.620109498500824,"[0.         0.         0.         0.         0.29411766 0.3357664
 0.         0.        ]"
9,1.9575399160385132,0.23939569294452667,0.5,0.015107495710253716,0.22495649755001068,0.6642774939537048,"[0.34642857 0.11564626 0.24747476 0.2007722  0.28571427 0.20708445
 0.0887372  0.29032257]",2.2340540885925293,0.1884816735982895,0.3333333432674408,0.015706805512309074,0.17610950767993927,0.6125223636627197,"[0.         0.19999999 0.         0.         0.18181819 0.42553192
 0.25454548 0.        ]"
10,1.921342134475708,0.2585706114768982,0.39344263076782227,0.013945380225777626,0.22831305861473083,0.6815246343612671,"[0.33402923 0.0990099  0.18749999 0.07717042 0.22559653 0.31004366
 0.17456359 0.4342688 ]",2.0176925659179688,0.23560209572315216,0.46666666865348816,0.07329843193292618,0.21990399062633514,0.656335711479187,"[0.08695652 0.29268292 0.         0.         0.35       0.2988506
 0.         0.3030303 ]"
11,1.8435357809066772,0.30854153633117676,0.4285714328289032,0.013945380225777626,0.2621087431907654,0.7168391942977905,"[0.38016528 0.16129033 0.16770187 0.06060606 0.30107525 0.3695238
 0.24941176 0.49149925]",1.865991234779358,0.24607330560684204,0.4285714328289032,0.04712041839957237,0.2438618242740631,0.7192844152450562,"[0.         0.33333334 0.         0.         0.28571427 0.36111113
 0.         0.20689656]"
12,1.8169746398925781,0.2911098301410675,0.4117647111415863,0.016269611194729805,0.27087581157684326,0.7291406393051147,"[0.42       0.20630373 0.15954416 0.02459016 0.25560537 0.32702237
 0.18279572 0.47746247]",1.8068848848342896,0.2879581153392792,0.0,0.0,0.2711140215396881,0.737419068813324,"[0.         0.3380282  0.07142857 0.         0.34375003 0.4173913
 0.17391305 0.3030303 ]"
13,1.759729027748108,0.3160952925682068,0.4848484992980957,0.027890760451555252,0.2957615256309509,0.7525728940963745,"[0.47368422 0.18435754 0.13496932 0.04938272 0.32751092 0.38141027
 0.19302948 0.48106065]",1.8621107339859009,0.26178011298179626,0.0,0.0,0.26154977083206177,0.7073975801467896,"[0.         0.20833334 0.         0.         0.24761906 0.4166667
 0.29268295 0.4888889 ]"
14,1.7586160898208618,0.3004067540168762,0.5,0.027890760451555252,0.2881653308868408,0.7532756924629211,"[0.4165103  0.15774648 0.1682243  0.0620155  0.32704398 0.36942676
 0.18324608 0.4672131 ]",1.809382677078247,0.30890053510665894,0.0,0.0,0.2600196599960327,0.7353475689888,"[0.48148146 0.07142857 0.25531915 0.         0.3333333  0.37956205
 0.         0.40000004]"
15,1.716482400894165,0.349215567111969,0.5923076868057251,0.0447414293885231,0.32829007506370544,0.7669557929039001,"[0.44664034 0.16666667 0.17417417 0.11428571 0.35714287 0.44407895
 0.28915665 0.54545456]",1.7877624034881592,0.3036649227142334,0.0,0.0,0.28456610441207886,0.7383902072906494,"[0.2        0.         0.24561404 0.         0.37288135 0.41379312
 0.09090909 0.5581395 ]"
16,1.6988093852996826,0.34166181087493896,0.5838926434516907,0.05055200308561325,0.3328048586845398,0.772087574005127,"[0.46843177 0.16233766 0.18991096 0.11149826 0.35528943 0.40319997
 0.29698378 0.52380955]",1.8098539113998413,0.2879581153392792,0.0,0.0,0.27727675437927246,0.7271416783332825,"[0.09090909 0.30769232 0.15686274 0.         0.3076923  0.43076926
 0.24242425 0.47619048]"
17,1.6847114562988281,0.3509587347507477,0.5573770403862,0.05926786735653877,0.3421671986579895,0.7791213393211365,"[0.49713194 0.2276423  0.15625    0.16875    0.37959182 0.42760944
 0.17827298 0.5481798 ]",1.7012250423431396,0.34554973244667053,0.0,0.0,0.32538992166519165,0.776433527469635,"[0.39024392 0.11764706 0.3272727  0.06060606 0.44067797 0.44444442
 0.         0.5365854 ]"
